time,l_shoulder,r_shoulder,l_hip,r_hip
134.64,68.5333547462,33.1692667442,37.66895311,-21.1654454496
134.66,74.1860128815,30.9558374451,38.9850908213,-15.1114273613
134.68,80.8271654967,27.3469842066,23.7422528385,-10.5954100418
134.7,82.8506797734,25.4557719899,-6.5276493691,-5.9917567948
134.72,82.6181984449,25.2987596762,-31.6476356793,-4.7022952443
134.74,81.0308707851,28.5781879826,-43.6032714678,0.9945742568
134.76,80.9407784071,30.1457989209,-46.4321415944,8.0711749969
134.78,80.9438355199,31.0097673654,-48.8541007621,12.4720364262
134.8,77.4743347974,36.8948484734,-45.855170347,15.3063150798
134.82,72.391354608,44.6892115553,-42.5466290376,16.6465138354
134.84,68.3394513201,51.640413913,-42.687761845,22.1923193905
134.86,66.0708124628,55.0644066411,-42.6828239629,26.7612122852
134.88,64.8348614316,57.8499129972,-37.8132438122,29.4724391744
134.9,63.5598621756,60.4647885805,-34.7154073057,31.2869074262
134.92,60.7055608252,64.4114090172,-32.3960145665,32.5215683133
134.94,56.5417957195,68.9635355607,-29.5661448861,33.2539417315
134.96,50.3940119685,74.9107202215,-24.1514028908,34.0646797324
134.98,44.0562979715,81.1713396308,-19.7704550396,36.5985370634
135,40.7077057535,82.5970968408,-16.9682466712,33.211738996
135.02,35.9273151832,84.4590081997,-11.2460550176,19.1646838487
135.04,30.6882261346,86.3163695989,-11.2733005459,-11.7955928792
135.06,28.9780221115,85.4068922013,-8.4719532155,-42.605662986
135.08,26.4235260016,80.4419161085,-2.4646245436,-51.5403372028
135.1,25.8510072426,74.506026638,5.6750664196,-52.5091311077
135.12,26.7946448386,71.1594082773,10.0464679766,-49.8062970858
135.14,28.2311565657,69.1926504314,14.0912758085,-50.6079720745
135.16,31.4410757348,65.6241595685,17.9683939992,-50.3208922567
135.18,29.7802732481,63.125059276,21.2106962909,-48.6157861202
135.2,31.1132037064,61.1504046161,21.7028882983,-43.1257854629
135.22,35.6129439388,57.8055261817,23.4067479562,-38.8914190764
135.24,40.4879182643,53.9097126318,27.0690167753,-35.5665145241
135.26,47.8445014008,46.8933373625,30.3334151196,-34.4209418986
