time,l_shoulder,r_shoulder,l_hip,r_hip
300.24,-0.9317694603,23.2508294942,7.6479210872,-14.8608886399
300.26,-0.8403404506,18.5753971655,10.7896721516,-8.2624928231
300.28,-2.6140051165,13.7575276148,14.2451927586,-1.6428057005
300.3,-1.6677452542,10.112652877,16.6583026765,2.9928702174
300.32,1.0123170859,7.8603414894,16.0989509883,6.9319172381
300.34,-0.101167439,3.216440534,18.0808476297,12.0911184808
300.36,0.2510036274,-0.4981971283,20.636241198,15.7147226884
300.38,0.2141548156,-5.7450098146,23.0436524028,21.9458175805
300.4,-2.1875819796,-9.9369727822,25.7073932449,26.9564470755
300.42,-2.7584705592,-12.5170208614,28.1452284395,28.862083957
300.44,-2.2614850539,-15.0075521084,28.7197810281,32.5316664521
300.46,-0.4524118277,-14.575939709,26.6845590009,33.6569851685
300.48,1.1708381563,-13.7196244481,25.9935888344,33.1768764139
300.5,3.9692209145,-13.098845734,23.9935862846,33.2751017478
300.52,4.4542633922,-12.7505194246,23.1064515551,32.4298802455
300.54,6.0669837315,-11.7352652955,22.6387132152,31.0196954072
300.56,8.6163267618,-12.1361180452,21.1409584201,31.4422110594
300.58,8.7137560516,-12.4592884017,20.5390475446,32.2281315406
300.6,11.5433056844,-12.7414345558,19.6703691328,32.1415939461
300.62,14.960729541,-13.6655295601,17.9336180609,33.3013161299
300.64,18.1837262529,-12.0492387747,14.3862594581,32.4215726681
300.66,24.0589006162,-9.9132916111,10.4809311046,30.5222723591
300.68,29.4198235051,-7.6304824237,5.9982442851,29.8003764767
300.7,36.494794305,-0.7362564304,-2.4636317431,25.4608822652
300.72,44.0797427628,6.8837623638,-10.2793262772,19.1769445438
300.74,51.0827065016,13.0892906365,-17.769423902,14.639894766
300.76,56.8621313399,17.5099752028,-24.4830166273,10.8247137967
300.78,59.8618467481,22.4296790306,-28.0705033956,5.7400123433
300.8,62.7201737739,26.3184902819,-31.6661591195,2.5799672835
300.82,63.076396145,32.310879141,-35.8975868733,-3.3205989163
300.84,63.4619347089,38.3195427878,-38.3961885733,-9.6159388175
300.86,67.1346271409,44.5967662872,-44.0493929829,-14.1418188856
300.88,68.1059239872,50.1472455689,-48.2907265261,-18.9543713147
300.9,69.7359700496,54.2347692119,-50.950214843,-23.2254323701
300.92,67.0008539718,55.3956137789,-50.5881934603,-25.0256633504
300.94,63.6300708296,56.2956983498,-50.5373078458,-26.9051294833
300.96,61.1533942971,58.7278195141,-50.0866860195,-31.8699817651
300.98,56.2167943816,57.3609635459,-47.6857748631,-33.2891815859
301,51.4675650796,57.5124977554,-46.4130002215,-35.7252839921
301.02,47.0063666879,57.1395400187,-42.9538209342,-39.4378490198
301.04,39.7197366156,54.5275153705,-37.3836274995,-40.4533450334
301.06,34.2039785435,52.9893432723,-34.0570351615,-41.0147303197
301.08,27.1058088053,49.7158039863,-27.1877167114,-41.8272326301
301.1,22.5415132054,47.1967912883,-22.5426791637,-41.7475766009
301.12,18.4339600575,45.5537562922,-19.6360379267,-41.1412310891
301.14,15.6158185544,42.8197987984,-14.9174566203,-39.5810445136
301.16,12.9622282378,39.2621537425,-10.4888693297,-35.7122952687
301.18,10.7430678985,35.961228945,-7.1791615403,-30.7954041606
301.2,10.6580145271,34.4380468443,-4.3063429364,-27.478861818
301.22,8.8880105647,30.0986790707,-0.3328110371,-21.3804159336
301.24,4.9593094693,24.4327686283,4.5600096741,-13.2627229176
301.26,3.0249097057,19.5487022999,9.4771837678,-7.8225661731
301.28,3.4402860442,16.5320107214,10.6234276749,-3.3742787053
301.3,1.5998419669,12.6394700904,12.4853346949,1.6532185263
301.32,1.6609204574,9.0067442785,15.2174035262,4.6934905148
301.34,-0.4182542011,3.9296603504,19.1148095409,9.85060244
301.36,-2.2432275192,-0.1485199452,21.3648073327,14.5443807429
301.38,-3.9367249166,-3.3773416788,24.6617243409,17.7947953425
301.4,-3.6864382228,-4.9961682594,25.4937639086,20.2605965195
301.42,-3.8573306175,-5.9240235333,24.9216663585,22.4255784806
301.44,-3.6115308781,-7.6217739115,26.3874847354,24.2575386242
301.46,-2.7654179537,-9.4446464881,26.884961757,26.3440642115
301.48,-3.6413310757,-10.0994422627,27.2116782015,27.0629831975
301.5,-2.027755365,-8.4221184888,26.5221820532,25.7434425218
301.52,-1.1304252959,-8.174512506,25.9135358318,25.5702434992
301.54,1.2057357512,-5.3254779544,22.4426727019,23.6292836177
301.56,2.516424449,-6.1378336561,22.9058845663,23.1303537379
301.58,4.3916310616,-6.3601373931,22.0207090179,23.7337290739
301.6,5.3402397703,-6.437788998,20.8768586445,24.083103488
301.62,8.2761098836,-4.7269447315,19.2886630789,22.1973939523
301.64,10.4489453055,-1.8634449162,16.7537282605,19.751110278
301.66,14.2811473479,2.4049075529,11.3848338905,16.7999408376
301.68,23.1999472308,9.7463477212,3.4630703684,10.5175726521
301.7,30.4609662508,14.9131386513,-3.4398552385,5.9887466626
301.72,35.3297709891,18.6921114883,-9.5606658992,2.5969431755
301.74,41.478954895,23.494974881,-15.0874086416,-2.0565330526
301.76,47.2905025727,26.7996694005,-20.4701463867,-4.0865733814
301.78,49.5338962458,32.4632427497,-25.5022731777,-8.8264015676
301.8,52.1503143191,38.2778304763,-29.6162259451,-14.2573910544
301.82,53.4630971736,43.6201536096,-33.5269880588,-18.5907216908
301.84,53.0154065312,48.4219599572,-36.9629118715,-22.6250982337
301.86,55.9193138381,54.9794215027,-41.9584756187,-28.6153175517
301.88,57.833502934,61.5985963511,-47.8659647931,-35.5925710562
301.9,53.9150582005,64.0410062379,-49.0327760363,-40.1054641483
301.92,49.281948948,65.6161173072,-47.9573793491,-45.6967216326
301.94,44.262822728,64.939684405,-46.3531298684,-48.7761123527
301.96,38.9213841398,63.6270319188,-44.8591039603,-50.0197853816
301.98,34.0081856993,62.2952818655,-41.8793269014,-52.087350959
302,29.1475750607,60.7766692416,-39.4525875645,-54.6815118298
302.02,21.8033645393,56.605168033,-34.2648247848,-53.5496096581
302.04,19.2799072532,54.239925435,-30.5947064654,-51.6170003194
302.06,16.9485643608,51.6374420211,-27.2641260408,-49.6909967818
302.08,13.0511957667,46.8889456333,-22.2314388085,-45.2222220205
302.1,12.239646403,45.0063010779,-18.4227068239,-42.9276800105
302.12,10.3258156575,41.629112469,-13.6490256724,-38.673132499
302.14,5.3527924691,36.0136947303,-6.6537401384,-32.2080050835
302.16,4.8954685439,32.2271773853,-1.8722657121,-26.5715883267
302.18,4.5260052694,28.133128396,2.1097905125,-20.4436983504
302.2,2.4072881107,23.9606174036,5.8232433537,-14.79320003
302.22,2.2523834356,20.0479190448,9.0933381313,-10.2334920451
302.24,2.8298097541,15.7441132599,10.851144541,-3.5015338786
302.26,3.2312440804,13.3249138551,10.8718130758,0.9145362934
302.28,2.9195324772,9.6381043608,13.7702103051,4.5377366717
302.3,2.7241281942,3.6447398145,16.6707126498,11.0846517413
302.32,1.8272510958,0.34886439,18.0106592955,15.7381791067
302.34,3.8266266999,-0.6259249023,17.9079945683,17.6655857809
302.36,3.8313879969,-3.3717629762,19.2491892204,21.0246158959
302.38,4.3529481401,-5.3017373424,19.3116421968,23.9318488417
302.4,8.6108276606,-3.2424669646,16.4628199325,22.0736340027
302.42,11.1791182948,-2.3523995739,14.941325667,21.2712491563
